PATTERN	SPATIAL	CATEGORY	10-F-C	10-F-P	10-NF-C	10-NF-P	101-F-C	101-F-P	101-NF-C	101-NF-P	102-F-C	102-F-P	102-NF-C	102-NF-P	103-F-P	103-NF-P	104-F-C	104-F-P	104-NF-C	104-NF-P	105-F-C	105-F-P	105-NF-C	105-NF-P	106-F-C	106-F-P	106-NF-C	106-NF-P	107-F-C	107-F-P	107-NF-C	107-NF-P	108-F-C	108-F-P	108-NF-C	108-NF-P	109-F-C	109-F-P	109-NF-C	109-NF-P	110-F-C	110-F-P	110-NF-C	110-NF-P	111-F-C	111-F-P	111-NF-C	111-NF-P	112-F-C	112-F-P	112-NF-C	112-NF-P	113-F-P	113-NF-P	114-F-C	114-F-P	114-NF-C	114-NF-P	12-F-C	12-F-P	12-NF-C	12-NF-P	13-F-C	13-F-P	13-NF-C	13-NF-P	15-F-P	15-NF-P	16-F-C	16-F-P	16-NF-C	16-NF-P	17-F-C	17-F-P	17-NF-C	17-NF-P	19-F-C	19-F-P	19-NF-C	19-NF-P	2-F-C	2-F-P	2-NF-C	2-NF-P	20-F-C	20-F-P	20-NF-C	20-NF-P	21-F-C	21-F-P	21-NF-C	21-NF-P	22-F-C	22-F-P	22-NF-C	22-NF-P	23-F-C	23-F-P	23-NF-C	23-NF-P	24-F-C	24-F-P	24-NF-C	24-NF-P	25-F-C	25-F-P	25-NF-C	25-NF-P	26-F-C	26-F-P	26-NF-C	26-NF-P	27-F-C	27-F-P	27-NF-C	27-NF-P	28-F-C	28-F-P	28-NF-C	28-NF-P	3-F-C	3-F-P	3-NF-C	3-NF-P	30-F-C	30-F-P	30-NF-C	30-NF-P	31-F-C	31-F-P	31-NF-C	31-NF-P	32-F-C	32-F-P	32-NF-C	32-NF-P	33-F-C	33-F-P	33-NF-P	35-F-C	35-F-P	35-NF-C	35-NF-P	36-F-C	36-F-P	36-NF-C	36-NF-P	37-F-C	37-F-P	37-NF-C	37-NF-P	38-F-C	38-F-P	38-NF-C	38-NF-P	39-F-C	39-F-P	39-NF-C	39-NF-P	4-F-C	4-F-P	4-NF-C	4-NF-P	40-F-C	40-F-P	40-NF-C	40-NF-P	41-F-C	41-F-P	41-NF-C	41-NF-P	42-F-C	42-F-P	42-NF-C	42-NF-P	44-F-C	44-F-P	44-NF-C	44-NF-P	45-F-C	45-F-P	45-NF-C	45-NF-P	47-F-C	47-F-P	47-NF-C	47-NF-P	48-F-C	48-F-P	48-NF-C	48-NF-P	49-F-C	49-F-P	49-NF-C	49-NF-P	5-F-C	5-F-P	5-NF-C	5-NF-P	50-F-C	50-F-P	50-NF-C	50-NF-P	51-F-C	51-F-P	51-NF-C	51-NF-P	52-F-C	52-F-P	52-NF-C	52-NF-P	53-F-P	53-NF-C	53-NF-P	54-F-C	54-F-P	54-NF-C	54-NF-P	56-F-C	56-F-P	56-NF-C	56-NF-P	57-F-C	57-F-P	57-NF-C	57-NF-P	58-F-C	58-F-P	58-NF-C	58-NF-P	59-F-C	59-F-P	59-NF-C	59-NF-P	6-F-P	6-NF-C	6-NF-P	61-F-P	61-NF-C	61-NF-P	62-F-C	62-F-P	62-NF-C	62-NF-P	65-F-C	65-F-P	65-NF-C	65-NF-P	66-F-C	66-F-P	66-NF-C	66-NF-P	67-F-C	67-F-P	67-NF-C	67-NF-P	68-F-C	68-F-P	68-NF-C	68-NF-P	7-F-C	7-F-P	7-NF-C	7-NF-P	70-F-C	70-F-P	70-NF-C	70-NF-P	72-F-C	72-F-P	72-NF-C	72-NF-P	79-F-C	79-F-P	79-NF-C	79-NF-P	8-F-C	8-F-P	8-NF-C	8-NF-P	80-F-C	80-F-P	80-NF-C	80-NF-P	81-F-C	81-F-P	81-NF-C	81-NF-P	82-F-C	82-F-P	82-NF-C	82-NF-P	83-F-C	83-F-P	83-NF-C	83-NF-P	84-F-C	84-F-P	84-NF-C	84-NF-P	85-F-C	85-F-P	85-NF-C	85-NF-P	86-F-C	86-F-P	86-NF-C	86-NF-P	87-F-C	87-F-P	87-NF-C	87-NF-P	88-F-C	88-F-P	88-NF-C	88-NF-P	89-F-P	89-NF-C	89-NF-P	9-F-C	9-F-P	9-NF-C	9-NF-P	90-F-C	90-F-P	90-NF-C	90-NF-P	92-F-C	92-F-P	92-NF-C	92-NF-P	93-F-C	93-F-P	93-NF-C	93-NF-P	94-F-C	94-F-P	94-NF-C	94-NF-P	95-F-C	95-F-P	95-NF-C	95-NF-P	96-F-C	96-F-P	96-NF-C	96-NF-P	97-F-C	97-F-P	97-NF-C	97-NF-P	98-F-C	98-F-P	98-NF-C	98-NF-P	99-F-C	99-F-P	99-NF-C	99-NF-P
cylinder	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark	0	adjective	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
deep	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
depth	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
diagonal	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
diamond	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
did	0	question	0	1	0	5	1	0	0	3	0	3	1	0	1	0	0	1	0	0	0	3	0	2	3	7	0	0	1	2	2	4	0	1	0	0	0	1	0	1	1	2	1	1	1	3	0	0	0	1	0	2	1	0	0	1	2	1	0	3	0	0	0	1	0	0	1	0	0	2	0	0	0	2	0	3	0	2	0	0	2	1	1	1	0	1	1	0	0	1	0	0	1	6	1	1	0	3	0	1	0	4	0	0	0	4	0	0	1	1	0	0	0	2	0	14	0	2	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	1	0	1	0	1	1	0	2	0	1	3	12	0	0	2	2	0	0	0	5	0	0	2	2	0	1	0	2	0	0	0	1	0	0	0	1	1	0	0	2	0	2	0	1	1	0	0	2	0	0	0	0	0	1	1	5	0	1	1	3	0	0	0	2	0	1	0	1	0	1	0	3	0	2	0	1	0	0	1	0	0	0	4	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	3	0	0	0	4	1	3	0	4	0	0	0	2	0	1	0	1	0	0	0	1	0	0	0	7	1	1	0	1	0	0	0	2	3	7	0	3	1	1	0	1	0	0	0	1	0	1	0	4	0	1	0	2	0	0	0	1	0	1	1	1	0	0	0	2	0	0	1	1	0	1	4	0	0	2	2	0	0	0	2	0	2	0	4	1	7	1	1	0	1	0	1	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	1	0	0	0	1	0	0
direction	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dirt	0	nature	0	1	0	0	1	0	0	0	1	1	0	0	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	1	0	0	2	0	0	3	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	2	0	0	1	1	0	0	0	1	1	0	0	3	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	2	0	0	0	4	0	0	1	1	1	1	0	2	0	0	0	1	0	3	3	0	0	5	3	0	0	0	1	0	0	0	4	0	0	1	2	0	0	0	1	0	0	0	3	0	0	2	0	0	0	0	3	0	0	0	4	0	0	0	2	0	0	1	2	0	0	1	3	0	0	1	1	0	0	1	9	0	0	0	1	0	0	0	4	0	0	0	3	0	0	2	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	2	0	1	0	3	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	3	10	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
distance	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
do	0	question	0	14	1	15	1	2	1	0	3	12	2	10	2	3	0	4	1	8	0	1	1	6	15	5	12	12	0	1	3	11	0	3	0	7	0	5	0	5	1	5	2	5	1	0	2	5	0	1	0	3	1	2	0	1	0	6	0	5	0	8	0	1	0	7	1	6	0	1	0	7	0	1	0	4	0	1	0	2	1	7	0	11	1	11	0	11	0	9	0	12	0	10	1	19	0	2	0	5	0	8	0	3	0	5	0	1	2	3	0	13	1	9	1	21	0	9	3	6	1	2	1	2	4	4	6	6	0	1	0	2	2	3	5	3	0	1	2	1	1	1	5	1	10	1	3	0	3	0	4	1	2	2	4	2	1	1	2	0	3	0	3	0	1	0	2	4	0	13	2	0	5	0	6	1	1	1	0	0	1	2	5	0	2	0	4	3	0	1	1	0	1	2	1	0	8	1	6	0	1	1	2	0	2	0	6	0	1	0	4	4	0	4	0	3	0	1	2	6	3	3	0	4	0	2	0	3	0	7	0	1	1	5	0	0	6	1	1	6	1	5	3	7	0	2	1	2	0	6	0	3	0	2	1	2	0	2	2	4	0	1	1	5	0	1	0	2	0	2	0	3	0	1	0	2	1	6	3	5	1	4	0	2	0	1	0	1	0	3	0	2	0	7	3	7	0	4	0	4	2	1	0	3	0	2	0	1	0	4	1	12	0	2	0	4	5	0	7	0	2	0	2	0	15	0	6	0	7	1	19	0	2	0	2	0	3	0	1	0	2	3	5	0	1	3	3	0	3	0	2	0	3	0	5	0	3	1	4
does	0	question	0	5	0	4	0	0	0	1	1	0	2	2	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	3	0	0	0	4	0	2	0	1	0	0	0	5	0	0	0	1	0	0	0	0	2	0	1	1	0	3	0	3	0	1	2	0	0	2	1	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	9	3	4	4	0	0	0	0	0	0	0	0	0	3	0	2	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	1	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
dots	0	body part	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
down	1	location and directions	0	3	0	4	3	0	1	2	2	1	1	3	3	1	0	3	0	1	0	5	0	1	2	3	0	1	0	3	0	1	0	3	0	1	0	3	0	1	0	6	0	2	3	0	1	0	0	3	0	1	3	1	0	3	0	1	0	5	0	2	0	3	0	4	3	1	0	7	1	3	0	3	0	1	0	3	0	1	3	0	1	0	0	5	0	0	0	5	0	1	0	3	0	1	0	3	0	1	0	3	0	1	0	3	0	1	0	3	0	2	0	3	0	8	0	3	0	2	0	3	0	7	1	3	0	4	0	3	0	3	1	3	3	1	0	3	1	0	3	0	1	2	0	1	1	0	3	0	4	1	4	0	1	2	5	0	1	1	4	6	1	0	3	0	1	0	0	0	0	0	3	0	2	1	6	0	2	0	3	0	1	0	3	0	1	5	7	1	1	1	6	0	2	0	4	1	4	0	3	0	1	0	3	0	2	0	4	1	2	3	0	1	0	3	0	3	2	1	0	1	0	3	0	0	0	3	0	1	0	4	0	2	0	0	1	3	2	1	1	3	0	1	0	3	0	1	1	5	0	5	0	1	0	1	0	4	0	1	0	0	0	1	0	4	0	3	0	3	0	1	1	3	0	1	0	3	0	3	0	3	0	1	0	3	0	0	0	3	0	1	0	4	0	8	0	3	0	2	0	3	0	1	0	4	0	1	0	3	0	1	0	1	1	1	3	0	5	0	4	0	1	0	3	0	2	0	3	1	2	0	3	0	1	0	3	0	2	0	3	0	1	0	3	0	1	0	3	1	5	0	1	1	1	0	3	0	2
duck	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ear	0	body part	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
